X,Y,OBJECTID,ID,IsNTMT,STREET,BLOCKNUM,BLOCKDIR,CROSSSTREET,CROSSBLOCK,CROSSBLOCKDIR,COUNTDATE,VOLUME,COUNTTYPE,DIRECTION,DESCRIPTION,DISTRICT,COUNTSTATION,BUDGETYR,COMMENTS,VERIFIEDON,AVG_SPEED
640655.528871391,910346.463254593,26031,13827,1,CAMPBELL AVE,4500,N,23RD AVE,2300,W,2015/10/07 07:00:00+00,1159,MID2,West Bound,Cut Thru Traffic,4,1359,2016,,2015/10/15 16:25:07+00,26
640655.419947505,910288.246719159,26032,13827,1,CAMPBELL AVE,4500,N,BLACK CANYON HWY,2500,W,2015/10/07 07:00:00+00,858,MID2,East Bound,Cut Thru Traffic,4,1359,2016,,2015/10/15 16:25:07+00,26
642094.341535434,910361.990157478,26033,13828,1,CAMPBELL AVE,4500,N,22ND AVE,2200,W,2015/10/07 07:00:00+00,2226,MID2,West Bound,Cut Thru Traffic,4,4372,2016,,2015/10/15 16:46:35+00,28
642094.234908137,910303.773622051,26034,13828,1,CAMPBELL AVE,4500,N,23RD AVE,2300,W,2015/10/07 07:00:00+00,1617,MID2,East Bound,Cut Thru Traffic,4,4372,2016,,2015/10/15 16:46:35+00,28
642563.779855642,910364.772965878,26035,13829,1,CAMPBELL AVE,4500,N,21ST AVE,2100,W,2015/10/07 07:00:00+00,2033,MID2,West Bound,Cut Thru Traffic,4,4372,2016,,2015/10/15 16:48:28+00,29
642563.680774279,910310.194881886,26036,13829,1,CAMPBELL AVE,4500,N,22ND AVE,2200,W,2015/10/07 07:00:00+00,1587,MID2,East Bound,Cut Thru Traffic,4,4372,2016,,2015/10/15 16:48:28+00,29
643533.269028872,910443.076115489,26037,13830,1,CAMPBELL AVE,4500,N,20TH AVE,2000,W,2015/10/07 07:00:00+00,2266,MID2,West Bound,Cut Thru Traffic,4,4372,2016,,2015/10/15 16:49:32+00,31
643533.158464566,910381.220800526,26038,13830,1,CAMPBELL AVE,4500,N,21ST AVE,2100,W,2015/10/07 07:00:00+00,1771,MID2,East Bound,Cut Thru Traffic,4,4372,2016,,2015/10/15 16:49:32+00,31
599571.729002625,898188.179461941,26039,13831,1,86TH DR,8600,W,PALM LN,2000,N,2015/10/10 07:00:00+00,1212,MID2,South Bound,Cut Thru Traffic,"5, 7",6117,2016,,2015/10/15 16:51:00+00,31
599641.728018373,898144.294947505,26040,13831,1,86TH DR,8600,W,HOLLY ST,2030,N,2015/10/10 07:00:00+00,1098,MID2,North Bound,Cut Thru Traffic,"5, 7",6117,2016,,2015/10/15 16:51:00+00,31
617647.375,995458.41371391,26043,13833,1,PINNACLE VISTA DR,27750,N,58TH LN,5880,W,2015/10/21 07:00:00+00,1855,MID2,West Bound,Cut Thru Traffic,1,2496,2016,,2015/10/27 15:48:19+00,37
617638.130577426,995411.134842522,26044,13833,1,PINNACLE VISTA DR,27750,N,60TH AVE,6000,W,2015/10/21 07:00:00+00,2110,MID2,East Bound,Cut Thru Traffic,1,2496,2016,,2015/10/27 15:48:19+00,37
664025.353346456,925349.38188976,26077,13879,1,22ND ST,2200,E,STATE AVE,7300,N,2015/10/14 07:00:00+00,1003,MID2,South Bound,Cut Thru Traffic,6,5441,2016,,2015/10/27 20:39:19+00,29
664077.14895013,925349.322834648,26078,13879,1,22ND ST,2200,E,NORTHVIEW AVE,7200,N,2015/10/14 07:00:00+00,992,MID2,North Bound,Cut Thru Traffic,6,5441,2016,,2015/10/27 20:39:19+00,29
613153.905183729,910344.500656165,26079,13880,1,CAMPBELL AVE,4500,N,65TH DR,6520,W,2015/10/14 07:00:00+00,1519,MID2,West Bound,Cut Thru Traffic,5,3343,2016,,2015/10/26 21:12:32+00,26
613153.765419949,910293.561023623,26080,13880,1,CAMPBELL AVE,4500,N,67TH AVE,6700,W,2015/10/14 07:00:00+00,1465,MID2,East Bound,Cut Thru Traffic,5,3343,2016,,2015/10/26 21:12:32+00,26
645643.030183729,1012855.87007874,26087,13889,0,DOVE VALLEY RD,32900,N,17TH LN,1750,W,2015/09/09 07:00:00+00,2083,MID2,West Bound,Classification,2,5483,2016,,2015/10/21 17:06:06+00,46
645649.037401576,1012815.8339895,26088,13889,0,DOVE VALLEY RD,32900,N,16TH AVE,1580,W,2015/09/09 07:00:00+00,2095,MID2,East Bound,Classification,2,5483,2016,,2015/10/21 17:06:06+00,46
669342.392060369,963294.255905509,26089,13890,1,GROVERS AVE,17800,N,30TH ST,3000,E,2015/10/20 07:00:00+00,1440,MID2,West Bound,Cut Thru Traffic,2,1199,2016,,2015/10/26 21:32:31+00,33
669342.321194224,963221.483595803,26090,13890,1,GROVERS AVE,17800,N,30TH WAY,3030,E,2015/10/20 07:00:00+00,1480,MID2,East Bound,Cut Thru Traffic,2,1199,2016,,2015/10/26 21:32:31+00,33
657451.844160106,951311.572834648,26095,13892,1,HEARN RD,14200,N,12TH ST,1200,E,2015/10/21 07:00:00+00,1592,MID2,West Bound,Cut Thru Traffic,3,4520,2016,,2015/11/06 15:00:31+00,24
657451.785104986,951267.909776904,26096,13892,1,HEARN RD,14200,N,13TH ST,1300,E,2015/10/21 07:00:00+00,1768,MID2,East Bound,Cut Thru Traffic,3,4520,2016,,2015/11/06 15:00:31+00,24
658011.995734908,951310.82152231,26097,13893,1,HEARN RD,14200,N,12TH ST,1200,E,2015/10/21 07:00:00+00,1588,MID2,West Bound,Cut Thru Traffic,3,4520,2016,,2015/11/06 15:02:20+00,25
658011.932742782,951263.519685037,26098,13893,1,HEARN RD,14200,N,13TH ST,1300,E,2015/10/21 07:00:00+00,1763,MID2,East Bound,Cut Thru Traffic,3,4520,2016,,2015/11/06 15:02:20+00,25
658435.158464566,951313.89895013,26099,13894,1,HEARN RD,14120,N,13TH ST,1300,E,2015/10/21 07:00:00+00,1483,MID2,West Bound,Cut Thru Traffic,3,4520,2016,,2015/11/06 15:03:13+00,31
658435.096128609,951266.597112864,26100,13894,1,HEARN RD,14120,N,POINTE GOLF CLUB DR,1400,E,2015/10/21 07:00:00+00,1624,MID2,East Bound,Cut Thru Traffic,3,4520,2016,,2015/11/06 15:03:13+00,31
679432.660433073,952763.188976377,26101,13901,1,ACOMA DR,14600,N,44TH ST,4400,E,2015/10/27 07:00:00+00,920,MID2,West Bound,Cut Thru Traffic,2,1228,2016,,2015/11/06 15:04:19+00,31
679432.622375328,952704.971456692,26102,13901,1,ACOMA DR,14600,N,45TH PL,4530,E,2015/10/27 07:00:00+00,831,MID2,East Bound,Cut Thru Traffic,2,1228,2016,,2015/11/06 15:04:19+00,31
650061.394356955,901925.201443568,26103,13902,1,5TH AVE,500,W,WINDSOR AVE,2700,N,2015/10/27 07:00:00+00,0,MID4,South Bound,Cut Thru Traffic,4,4007,2016,,2015/11/06 15:05:42+00,12
650061.394356955,901925.201443568,26104,13902,1,5TH AVE,500,W,EDGEMONT AVE,2800,N,2015/10/27 07:00:00+00,2185,MID4,South Bound,Cut Thru Traffic,4,4007,2016,,2015/11/09 18:00:02+00,12
650094.934383202,901925.148622051,26105,13902,1,5TH AVE,500,W,WINDSOR AVE,2700,N,2015/10/27 07:00:00+00,3414,MID4,North Bound,Cut Thru Traffic,4,4007,2016,,2015/11/06 15:05:42+00,12
650094.934383202,901925.148622051,26106,13902,1,5TH AVE,500,W,EDGEMONT AVE,2800,N,2015/10/27 07:00:00+00,0,MID4,North Bound,Cut Thru Traffic,4,4007,2016,,2015/11/09 18:00:02+00,12
650713.572506562,901716.783464566,26107,13903,1,3RD AVE,300,W,WINDSOR AVE,2700,N,2015/10/27 07:00:00+00,0,MID2,South Bound,Cut Thru Traffic,4,5003,2016,,2015/11/09 18:00:37+00,
650768.456036747,901716.698162727,26108,13903,1,3RD AVE,300,W,EDGEMONT AVE,2800,N,2015/10/27 07:00:00+00,3414,MID2,North Bound,Cut Thru Traffic,4,5003,2016,,2015/11/09 18:00:37+00,
650078.854986876,897526.196194224,26111,13905,1,5TH AVE,500,W,ALMERIA RD,1700,N,2015/10/28 07:00:00+00,1943,MID2,South Bound,Cut Thru Traffic,4,1007,2016,,2015/11/06 15:13:15+00,13
650127.646653544,897526.119094491,26112,13905,1,5TH AVE,500,W,CORONADO RD,1800,N,2015/10/28 07:00:00+00,0,MID2,North Bound,Cut Thru Traffic,4,1007,2016,,2015/11/06 15:13:15+00,13
650704.204396326,897656.203740157,26113,13906,1,3RD AVE,300,W,ALMERIA RD,1700,N,2015/10/28 07:00:00+00,0,MID2,South Bound,Cut Thru Traffic,4,2004,2016,,2015/11/06 15:14:16+00,
650746.897309713,897656.137467191,26114,13906,1,3RD AVE,300,W,CORONADO RD,1800,N,2015/10/28 07:00:00+00,2975,MID2,North Bound,Cut Thru Traffic,4,2004,2016,,2015/11/06 15:14:16+00,
657360.542650919,872177.060695536,26121,13912,1,12TH ST,1200,E,CHAMBERS ST,5400,S,2015/11/03 07:00:00+00,884,MID2,South Bound,Cut Thru Traffic,8,1480,2016,,2015/11/10 20:54:18+00,30
657418.543963253,872187.898293965,26122,13912,1,12TH ST,1200,E,BOWKER ST,5500,S,2015/11/03 07:00:00+00,998,MID2,North Bound,Cut Thru Traffic,8,1480,2016,,2015/11/10 20:54:18+00,30
645949.92847769,1012869.89370079,26123,13925,1,DOVE VALLEY RD,32850,N,16TH AVE,1580,W,2015/11/17 07:00:00+00,2299,MID2,West Bound,Classification,2,5483,2016,,2015/12/02 14:46:10+00,44
645955.948490813,1012837.13484252,26124,13925,1,DOVE VALLEY RD,32850,N,PALOMA PKWY,1900,W,2015/11/17 07:00:00+00,2257,MID2,East Bound,Classification,2,5483,2016,,2015/12/02 14:46:10+00,44
641162.215551183,902508.096456692,26125,13926,1,THOMAS RD,2900,N,23RD AVE,2300,W,2015/11/17 07:00:00+00,13628,MID2,West Bound,Cut Thru Traffic,"4, 7",2339,2016,,2015/12/02 14:50:59+00,31
641159.018044621,902428.054461941,26126,13926,1,THOMAS RD,2900,N,24TH AVE,2400,W,2015/11/17 07:00:00+00,15946,MID2,East Bound,Cut Thru Traffic,"4, 7",2339,2016,,2015/12/02 14:50:59+00,31
680080.464238845,990229.741469815,26175,13995,1,RAMUDA DR,4600,E,PASO TRL,4560,E,2015/12/15 07:00:00+00,775,MID2,West Bound,Cut Thru Traffic,2,5463,2016,,2015/12/18 15:40:55+00,31
680126.046916012,990189.687335961,26176,13995,1,RAMUDA DR,4600,E,CHISUM TRL,4580,E,2015/12/15 07:00:00+00,666,MID2,East Bound,Cut Thru Traffic,2,5463,2016,,2015/12/18 15:40:55+00,31
662605.817913387,904964.266076118,26223,13895,0,OSBORN RD,3400,N,19TH ST,1900,E,2015/11/04 07:00:00+00,10835,MID2,West Bound,Special,4,2480,2016,,2015/12/02 15:06:37+00,
662185.004921261,904895.633858271,26224,13895,0,OSBORN RD,3400,N,20TH ST,2000,E,2015/11/04 07:00:00+00,7585,MID2,East Bound,Special,4,2480,2016,,2015/12/02 15:06:37+00,
661453.364501312,904951.094160102,26225,13896,0,OSBORN RD,3400,N,18TH ST,1800,E,2015/10/07 07:00:00+00,11038,MID2,West Bound,Special,4,1272,2016,,2015/12/02 15:07:08+00,
661453.293635171,904892.877952754,26226,13896,0,OSBORN RD,3400,N,19TH ST,1900,E,2015/10/07 07:00:00+00,8490,MID2,East Bound,Special,4,1272,2016,,2015/12/02 15:07:08+00,
659593.58464567,904931.582020998,26227,13897,0,OSBORN RD,3400,N,15TH ST,1500,E,2015/10/07 07:00:00+00,11203,MID2,West Bound,Special,4,5332,2016,,2015/12/02 15:07:27+00,
659654.462598424,904855.095144354,26228,13897,0,OSBORN RD,3400,N,16TH ST,1600,E,2015/10/07 07:00:00+00,11025,MID2,East Bound,Special,4,5332,2016,,2015/12/02 15:07:27+00,
656758.237532809,904946.243438318,26229,13898,0,OSBORN RD,3400,N,9TH PL,930,E,2015/10/07 07:00:00+00,12080,MID2,West Bound,Special,4,2349,2016,,2015/12/02 15:08:56+00,
656788.645997375,904887.98523622,26230,13898,0,OSBORN RD,3400,N,12TH ST,1200,E,2015/11/04 07:00:00+00,10031,MID2,East Bound,Special,4,2349,2016,,2015/12/02 15:08:56+00,
655630.195866141,904951.442585304,26231,13899,0,OSBORN RD,3400,N,7TH ST,700,E,2015/10/07 07:00:00+00,12702,MID2,West Bound,Special,4,2349,2016,,2015/12/02 15:09:15+00,
655599.621391077,904889.63057743,26232,13899,0,OSBORN RD,3400,N,9TH PL,930,E,2015/10/07 07:00:00+00,9628,MID2,East Bound,Special,4,2349,2016,,2015/12/02 15:09:15+00,
679598.496391077,865176.422900259,26235,13913,0,BASELINE RD,7600,S,48TH ST,4800,E,2015/10/14 07:00:00+00,29272,MID2,West Bound,Volume Map,"6, 8",2274,2016,,2015/12/02 15:15:16+00,
679598.431102362,865074.546259843,26236,13913,0,BASELINE RD,7600,S,44TH ST,4400,E,2015/10/14 07:00:00+00,28329,MID2,East Bound,Volume Map,"6, 8",2274,2016,,2015/12/02 15:15:16+00,
677461.659776904,865148.758202098,26237,13914,0,BASELINE RD,7600,S,44TH ST,4400,E,2015/10/14 07:00:00+00,29142,MID2,West Bound,Volume Map,"6, 8",6275,2016,,2015/12/02 15:15:42+00,
677461.589895014,865050.520013124,26238,13914,0,BASELINE RD,7600,S,40TH ST,4000,E,2015/10/14 07:00:00+00,29834,MID2,East Bound,Volume Map,"6, 8",6275,2016,,2015/12/02 15:15:42+00,
674653.272637796,865154.511811025,26239,13915,0,BASELINE RD,7600,S,40TH ST,4000,E,2015/10/14 07:00:00+00,28620,MID2,West Bound,Volume Map,8,3289,2016,,2015/12/02 15:16:04+00,
674653.182742782,865041.719816275,26240,13915,0,BASELINE RD,7600,S,36TH ST,3600,E,2015/10/27 07:00:00+00,29083,MID2,East Bound,Volume Map,8,3289,2016,,2015/12/02 15:16:04+00,
663934.928805776,915525.393700786,26241,13916,0,MISSOURI AVE,5500,N,24TH ST,2400,E,2015/10/14 07:00:00+00,9337,MID2,West Bound,Volume Map,6,5238,2016,,2015/12/02 15:16:31+00,
663934.849737532,915456.261482939,26242,13916,0,MISSOURI AVE,5500,N,20TH ST,2000,E,2015/10/14 07:00:00+00,7924,MID2,East Bound,Volume Map,6,5238,2016,,2015/12/02 15:16:31+00,
662313.510498688,915516.368766405,26243,13917,0,MISSOURI AVE,1800,E,20TH ST,2000,E,2015/10/27 07:00:00+00,9885,MID2,West Bound,Volume Map,6,2254,2016,,2015/12/02 15:16:45+00,
662228.103674542,915458.253937006,26244,13917,0,MISSOURI AVE,1800,E,SR51,1800,E,2015/10/14 07:00:00+00,8813,MID2,East Bound,Volume Map,6,2254,2016,,2015/12/02 15:16:45+00,
660856.683070865,915518.138451442,26245,13918,0,MISSOURI AVE,5500,N,SR51,1800,E,2015/10/14 07:00:00+00,10316,MID2,West Bound,Volume Map,6,2254,2016,,2015/12/02 15:17:02+00,
660856.593175855,915445.367454067,26246,13918,0,MISSOURI AVE,5500,N,16TH ST,1600,E,2015/10/14 07:00:00+00,9173,MID2,East Bound,Volume Map,6,2254,2016,,2015/12/02 15:17:02+00,
659454.687335957,915498.073490813,26247,13919,0,MISSOURI AVE,5500,N,16TH ST,1600,E,2015/10/14 07:00:00+00,10524,MID2,West Bound,Volume Map,6,6251,2016,,2015/12/02 15:17:20+00,
659424.13976378,915443.534448817,26248,13919,0,MISSOURI AVE,5500,N,12TH ST,1200,E,2015/10/14 07:00:00+00,9240,MID2,East Bound,Volume Map,6,6251,2016,,2015/12/02 15:17:20+00,
655919.303149607,915513.719488189,26249,13920,0,MISSOURI AVE,5500,N,12TH ST,1200,E,2015/10/14 07:00:00+00,11932,MID2,West Bound,Volume Map,6,3261,2016,,2015/12/02 15:17:39+00,
656071.600065615,915448.013451442,26250,13920,0,MISSOURI AVE,5500,N,7TH ST,700,E,2015/10/14 07:00:00+00,9106,MID2,East Bound,Volume Map,6,3261,2016,,2015/12/02 15:17:39+00,
652840.997047246,915470.858923882,26251,13921,0,MISSOURI AVE,5500,N,7TH ST,700,E,2015/10/14 07:00:00+00,9227,MID2,West Bound,Volume Map,"4, 6",4271,2016,,2015/12/02 15:17:58+00,
652841.083989501,915529.075459316,26252,13921,0,MISSOURI AVE,5500,N,CENTRAL AVE,0,E,2015/10/14 07:00:00+00,8610,MID2,East Bound,Volume Map,"4, 6",4271,2016,,2015/12/02 15:17:58+00,
650616.249343831,915550.664370082,26253,13922,0,MISSOURI AVE,5500,N,7TH AVE,700,W,2015/10/14 07:00:00+00,8298,MID2,West Bound,Volume Map,"4, 6",1262,2016,,2015/12/02 15:18:19+00,
650616.158464566,915492.447506562,26254,13922,0,MISSOURI AVE,5500,N,CENTRAL AVE,0,W,2015/10/14 07:00:00+00,7163,MID2,East Bound,Volume Map,"4, 6",1262,2016,,2015/12/02 15:18:19+00,
647233.337270342,915614.344816275,26255,13923,0,MISSOURI AVE,5500,N,15TH AVE,1500,W,2015/10/14 07:00:00+00,6533,MID2,West Bound,Volume Map,4,5345,2016,,2015/12/02 15:19:29+00,
647355.144356955,915552.28641732,26256,13923,0,MISSOURI AVE,5500,N,7TH AVE,700,W,2015/10/14 07:00:00+00,6053,MID2,East Bound,Volume Map,4,5345,2016,,2015/12/02 15:19:29+00,
645069.497375328,915654.414698161,26257,13924,0,MISSOURI AVE,5500,N,19TH AVE,1900,W,2015/10/14 07:00:00+00,6252,MID2,West Bound,Volume Map,"4, 5",7024,2016,,2015/12/02 15:19:45+00,
644917.002296589,915592.824475065,26258,13924,0,MISSOURI AVE,5500,N,15TH AVE,1500,W,2015/10/14 07:00:00+00,4740,MID2,East Bound,Volume Map,"4, 5",7024,2016,,2015/12/02 15:19:45+00,
645949.92847769,1012869.89370079,26259,13925,1,DOVE VALLEY RD,32850,N,16TH AVE,1580,W,2015/11/17 07:00:00+00,2299,MID2,West Bound,Classification,2,5483,2016,,2015/12/02 14:46:10+00,44
645955.948490813,1012837.13484252,26260,13925,1,DOVE VALLEY RD,32850,N,PALOMA PKWY,1900,W,2015/11/17 07:00:00+00,2257,MID2,East Bound,Classification,2,5483,2016,,2015/12/02 14:46:10+00,44
641162.215551183,902508.096456692,26261,13926,1,THOMAS RD,2900,N,23RD AVE,2300,W,2015/11/17 07:00:00+00,13628,MID2,West Bound,Cut Thru Traffic,"4, 7",2339,2016,,2015/12/02 14:50:59+00,31
641159.018044621,902428.054461941,26262,13926,1,THOMAS RD,2900,N,24TH AVE,2400,W,2015/11/17 07:00:00+00,15946,MID2,East Bound,Cut Thru Traffic,"4, 7",2339,2016,,2015/12/02 14:50:59+00,31
680080.464238845,990229.741469815,26343,13995,1,RAMUDA DR,4600,E,PASO TRL,4560,E,2015/12/15 07:00:00+00,775,MID2,West Bound,Cut Thru Traffic,2,5463,2016,,2015/12/18 15:40:55+00,31
680126.046916012,990189.687335961,26344,13995,1,RAMUDA DR,4600,E,CHISUM TRL,4580,E,2015/12/15 07:00:00+00,666,MID2,East Bound,Cut Thru Traffic,2,5463,2016,,2015/12/18 15:40:55+00,31
686735.447178479,901626.632545933,26376,14156,1,56TH ST,5600,E,WINDSOR AVE,2750,N,2016/01/05 07:00:00+00,2091,MID2,South Bound,Cut Thru Traffic,6,4098,2016,,2016/01/12 14:50:54+00,33
686512.863517061,901626.726706035,26377,14156,1,56TH ST,5600,E,THOMAS RD,2900,N,2016/01/05 07:00:00+00,1814,MID2,North Bound,Cut Thru Traffic,6,4098,2016,,2016/01/12 14:50:54+00,33
686735.447178479,901626.632545933,26496,14156,1,56TH ST,5600,E,WINDSOR AVE,2750,N,2016/01/05 07:00:00+00,2091,MID2,South Bound,Cut Thru Traffic,6,4098,2016,,2016/01/12 14:50:54+00,33
686512.863517061,901626.726706035,26497,14156,1,56TH ST,5600,E,THOMAS RD,2900,N,2016/01/05 07:00:00+00,1814,MID2,North Bound,Cut Thru Traffic,6,4098,2016,,2016/01/12 14:50:54+00,33
650864.603018373,888996.28871391,26540,14184,0,3RD AVE,300,W,JACKSON ST,300,S,2016/01/13 07:00:00+00,1186,MID2,South Bound,Special,8,6366,2016,,2016/01/21 15:59:43+00,
650910.357611548,888996.217847772,26541,14184,0,3RD AVE,300,W,BUCHANAN ST,500,S,2016/01/13 07:00:00+00,1737,MID2,North Bound,Special,8,6366,2016,,2016/01/21 15:59:43+00,
653228.809711285,889138.253937006,26546,14187,0,3RD ST,300,E,JACKSON ST,300,S,2016/01/13 07:00:00+00,1018,MID1,South Bound,Special,8,1005,2016,,2016/01/21 16:02:19+00,
612555.792322833,900176.357283466,26551,14192,0,67TH AVE,6700,W,THOMAS RD,2900,N,2016/01/19 07:00:00+00,18149,MID2,South Bound,Volume Map,7,5116,2016,,2016/02/01 19:27:17+00,
612632.023622047,900176.146981627,26552,14192,0,67TH AVE,6700,W,ENCANTO BLVD,2300,N,2016/01/19 07:00:00+00,18754,MID2,North Bound,Volume Map,7,5116,2016,,2016/02/01 19:27:17+00,
639388.390419949,948928.74311024,26557,14195,1,26TH LN,2700,W,WILLOW AVE,13450,N,2016/01/28 07:00:00+00,780,MID2,South Bound,Cut Thru Traffic,3,5400,2016,,2016/02/17 22:03:03+00,31
639455.335301839,948910.421259843,26558,14195,1,26TH LN,2700,W,JOAN DE ARC AVE,13470,N,2016/01/28 07:00:00+00,422,MID2,North Bound,Cut Thru Traffic,3,5400,2016,,2016/02/17 22:03:03+00,31
683114.875328083,904903.022637792,26567,14200,1,OSBORN RD,3400,N,50TH PL,5030,E,2016/02/02 07:00:00+00,2240,MID4,West Bound,Cut Thru Traffic,6,3269,2016,,2016/02/17 22:04:31+00,33
683114.875328083,904903.022637792,26568,14200,1,OSBORN RD,3400,N,52ND ST,5200,E,2016/02/02 07:00:00+00,2240,MID4,West Bound,Cut Thru Traffic,6,3269,2016,,2016/03/09 20:52:56+00,33
683114.846456692,904848.444881886,26569,14200,1,OSBORN RD,3400,N,50TH PL,5030,E,2016/02/02 07:00:00+00,1803,MID4,East Bound,Cut Thru Traffic,6,3269,2016,,2016/02/17 22:04:31+00,33
683114.846456692,904848.444881886,26570,14200,1,OSBORN RD,3400,N,52ND ST,5200,E,2016/02/02 07:00:00+00,1803,MID4,East Bound,Cut Thru Traffic,6,3269,2016,,2016/03/09 20:52:56+00,33
646815.303805776,922568.331692912,26575,14210,1,15TH AVE,1500,W,LAMAR RD,6800,N,2016/03/08 07:00:00+00,3677,MID2,South Bound,Cut Thru Traffic,5,1167,2016,,2016/03/24 19:25:29+00,34
646864.057086613,922568.249671914,26576,14210,1,15TH AVE,1500,W,LAWRENCE LN,8700,N,2016/03/08 07:00:00+00,3485,MID2,North Bound,Cut Thru Traffic,5,1167,2016,,2016/03/24 19:25:29+00,34
646798.693569552,919941.317257218,26577,14211,1,15TH AVE,1500,W,ROSE LN,6200,N,2016/02/23 07:00:00+00,4241,MID2,South Bound,Cut Thru Traffic,5,5150,2016,,2016/03/03 15:10:04+00,33
